place_name;rating;address;city;province;makanan_khas
Pantai BALI (Balongan Indah),Indramayu;4,5;J9VQ+88F, Balongan, Kabupaten Indramayu, Jawa Barat, Indonesia;indramayu;jawa barat;Mangga Gedong Gincu, Pindang Gombyang
Alun-Alun Indramayu;4,5;M8FF+94W, Jl. Mayjen Sutoyo, Margadadi, Indramayu, Indramayu Regency, West Java 45212, Indonesia;indramayu;jawa barat;Mangga Gedong Gincu, Pindang Gombyang
Monumen Bumi Patra;4,5;M84V+M3P, Jl. Bumi Patra Raya, Karanganyar, Indramayu, Indramayu Regency, West Java 45213, Indonesia;indramayu;jawa barat;Mangga Gedong Gincu, Pindang Gombyang
Wisata kuningan;4,5;6C69+PXM, Kaduela, Kec. Pasawahan, Kabupaten Kuningan, Jawa Barat 45559, Indonesia;kuningan;jawa barat;Tape Ketan, Tahu Kuningan, Lepet Kuningan
Telaga Biru Cicerem;4,5;Jl. Kaduela, Kaduela, Kec. Pasawahan, Kabupaten Kuningan, Jawa Barat 45559, Indonesia;kuningan;jawa barat;Tape Ketan, Tahu Kuningan, Lepet Kuningan
Waduk Darma Kuningan;4,5;Jl. Lkr. Waduk Darma, Darma, Kec. Darma, Kabupaten Kuningan, Jawa Barat 45562, Indonesia;kuningan;jawa barat;Tape Ketan, Tahu Kuningan, Lepet Kuningan
Taman Kota Kuningan;4,5;Jl. Veteran No.36, Kuningan, Kec. Kuningan, Kabupaten Kuningan, Jawa Barat 45511, Indonesia;kuningan;jawa barat;Tape Ketan, Tahu Kuningan, Lepet Kuningan
Bendungan Kuningan;4,5;Jl. Raya Desa Randusari, Randusari, Kec. Cibeureum, Kabupaten Kuningan, Jawa Barat 45588, Indonesia;kuningan;jawa barat;Tape Ketan, Tahu Kuningan, Lepet Kuningan
Situ Cipanten;4,5;Jl. Gn. Kuning - Sindang, Gunung Kuning, Sindang, Majalengka Regency, West Java 45471, Indonesia;majalengka;jawa barat;Kecap Majalengka, Jalakotek
Curug Cipeuteuy;4,5;Jl. Dukuh Pasir, Bantaragung, Sindangwangi, Majalengka Regency, West Java 45474, Indonesia;majalengka;jawa barat;Kecap Majalengka, Jalakotek
Patilasan Prabu Siliwangi(Tapakan);4,5;Pajajar, Rajagaluh, Majalengka Regency, West Java 45472, Indonesia;majalengka;jawa barat;Kecap Majalengka, Jalakotek
Alun-Alun Majalengka;4,5;567H+W32, Majalengka Kulon, Majalengka, Majalengka Regency, West Java 45418, Indonesia;majalengka;jawa barat;Kecap Majalengka, Jalakotek
Obyek Wisata Bendungan Rentang Jatitujuh;4,5;86PC+5GX, Bendungan Rentang, Kec. Jatitujuh, Kabupaten Majalengka, Jawa Barat 45458, Indonesia;majalengka;jawa barat;Kecap Majalengka, Jalakotek
Wisata Pangandaran;4,5;Taman Wisata Alam dan Cagar Alam, Pangandaran, Kec. Pangandaran, Kab. Pangandaran, Jawa Barat, Indonesia;pangandaran;jawa barat;Jambal Roti, Pindang Gunung
Pantai Karapyak Pasir putih;4,5;Bagolo, Kalipucang, Pangandaran Regency, West Java 46397, Indonesia;pangandaran;jawa barat;Jambal Roti, Pindang Gunung
Pantai Pasir Putih Timur Pangandaran;4,5;7MV7+CHV, Pananjung, Pangandaran, Ciamis Regency, West Java 46396, Indonesia;pangandaran;jawa barat;Jambal Roti, Pindang Gunung
The Ranch Ciater;4,5;Ciater, Subang Regency, West Java 41281, Indonesia;subang;jawa barat;Nanas Simadu
Curug Ciangin;4,5;Kampung Neglasari, RT.017/RW.04, Cibeusi, Kec. Ciater, Kabupaten Subang, Jawa Barat 41281, Indonesia;subang;jawa barat;Nanas Simadu
Curug Mandala;4,5;7J8M+92V, Cicadas, Sagalaherang, Subang Regency, West Java 41281, Indonesia;subang;jawa barat;Nanas Simadu
Muara Jambu Recreation & Camp;4,5;Kp. Neglasari RT/RW.018/004, Desa, Cibeusi, Kec. Ciater, Kabupaten Subang, Jawa Barat 41281, Indonesia;subang;jawa barat;Nanas Simadu
Wisata Alam OASIS Sukabumi;4,5;3WVQ+FWW, Jl. Mayor Mahmud, Sukajaya, Kec. Cikole, Kabupaten Sukabumi, Jawa Barat, Indonesia;sukabumi;jawa barat;Mochi, Bubur Ayam Bunut
White Sand Beach Geopark Ciletuh;4,5;Girimukti, Ciemas, Sukabumi Regency, West Java 43177, Indonesia;sukabumi;jawa barat;Mochi, Bubur Ayam Bunut
Situ Batu Karut;4,5;4X7P+Q5R, Jl. Batu Karut, Selaawi, Sukaraja, Sukabumi Regency, West Java 43192, Indonesia;sukabumi;jawa barat;Mochi, Bubur Ayam Bunut
Curug Puncak Manik;4,5;Cibenda, Ciemas, Sukabumi Regency, West Java 43177, Indonesia;sukabumi;jawa barat;Mochi, Bubur Ayam Bunut
Wisata puncak peyeum;4,5;Ciengang, Kec. Gegerbitung, Kabupaten Sukabumi, Jawa Barat 43197, Indonesia;sukabumi;jawa barat;Mochi, Bubur Ayam Bunut
Taman Potret;4,5;RJ3J+VVW, RT.001/RW.005, Babakan, Tangerang, Tangerang City, Banten 15118, Indonesia;tangeran;banten;Laksa Tangerang, Sayur Besan, Dodol Cilenggang
Flying Deck Cisadane;4,5;RJ8J+765, Jl. Kalipasir Indah, RT.001/RW.007, Sukasari, Kec. Tangerang, Kota Tangerang, Banten 15118, Indonesia;tangeran;banten;Laksa Tangerang, Sayur Besan, Dodol Cilenggang
Scientia Square Park;4,5;Jl. Scientia Boulevard, Curug Sangereng, Kelapa Dua, Tangerang Regency, Banten 15810, Indonesia;tangeran;banten;Laksa Tangerang, Sayur Besan, Dodol Cilenggang
Danau Barat Alam Sutera;4,5;Jl. Kp. Kosong No.11, RT.001/RW.004, Panunggangan, Pinang, Tangerang City, Banten 15143, Indonesia;tangeran;banten;Laksa Tangerang, Sayur Besan, Dodol Cilenggang
Taman Mini Indonesia Indah (TMII);4,5;;jakarta;dki jakarta;Nasi Uduk, Soto Betawi, Ketoprak, Kerak Telor, Gado-Gado, Roti Buaya, Asinan Betawi, Kue Cucur
Atlantis Water Adventure;4,5;;jakarta;dki jakarta;Nasi Uduk, Soto Betawi, Ketoprak, Kerak Telor, Gado-Gado, Roti Buaya, Asinan Betawi, Kue Cucur
Taman Impian Jaya Ancol;4,5;;jakarta;dki jakarta;Nasi Uduk, Soto Betawi, Ketoprak, Kerak Telor, Gado-Gado, Roti Buaya, Asinan Betawi, Kue Cucur
Kebun Binatang Ragunan;4,5;;jakarta;dki jakarta;Nasi Uduk, Soto Betawi, Ketoprak, Kerak Telor, Gado-Gado, Roti Buaya, Asinan Betawi, Kue Cucur
Pulau Tidung;4,5;;jakarta;dki jakarta;Nasi Uduk, Soto Betawi, Ketoprak, Kerak Telor, Gado-Gado, Roti Buaya, Asinan Betawi, Kue Cucur
De Djawatan Forest;4,6;Purwosari, Benculuk, Kec. Cluring, Kabupaten Banyuwangi, Jawa Timur 68482, Indonesia;banyuwangi;jawa timur;Rujak Soto, Sego Tempong, Pecel Rawon, Kue Bagiak, Bolu Kuwuk
Bangsring Underwater;4,6;Jl. Raya Banyuwangi Situbondo, Bangsring, Kabupaten Banyuwangi, Jawa Timur, Indonesia;banyuwangi;jawa timur;Rujak Soto, Sego Tempong, Pecel Rawon, Kue Bagiak, Bolu Kuwuk
Air Terjun Telunjuk Raung;4,6;Sumber Asih, Sumberarum, Kec. Songgon, Kabupaten Banyuwangi, Jawa Timur 68463, Indonesia;banyuwangi;jawa timur;Rujak Soto, Sego Tempong, Pecel Rawon, Kue Bagiak, Bolu Kuwuk
Taman Blambangan;4,6;Jl. Diponegoro No.2, Kepatihan, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68411, Indonesia;banyuwangi;jawa timur;Rujak Soto, Sego Tempong, Pecel Rawon, Kue Bagiak, Bolu Kuwuk
Laccar Waterfall;4,6;Kebontelukdalam, Sangkapura, Gresik Regency, East Java 61181, Indonesia;gresik;jawa timur;Nasi Krawu, Pudak, Otak-otak Bandeng
Wisata mangrove mengare (WARAKAS);4,6;Tajung Widoro, Tj. Widoro, Kec. Bungah, Kabupaten Gresik, Jawa Timur 61152, Indonesia;gresik;jawa timur;Nasi Krawu, Pudak, Otak-otak Bandeng
Situs Giri Kedaton & Makam Raden Supeno;4,6;Jl. Sunan Giri XIII, Pedukuhan, Kebomas, Kec. Kebomas, Kabupaten Gresik, Jawa Timur 61124, Indonesia;gresik;jawa timur;Nasi Krawu, Pudak, Otak-otak Bandeng
Avalokitesvara Buddhist Temple;4,6;Candi Utara, Polagan, Galis, Pamekasan Regency, East Java 69382, Indonesia;madura;jawa timur;Sate Madura, Soto Madura, Bebek Sinjay, Bebek Songkem, Topak Ladeh
Bromo Hillside;4,6;2WGG+6C2, Dusun Jarak Ijo, Ngadas, Poncokusumo, Malang Regency, East Java 65157, Indonesia;malang;jawa timur;Bakso Malang, Cwie Mie Malang, Orem-orem, Mendol, Sari Apel, Wedang Angsle
Taman Langit Gunung Banyak;4,6;Jl. Gn. Banyak, Gunungsari, Bumiaji, Batu City, East Java 65312, Indonesia;malang;jawa timur;Bakso Malang, Cwie Mie Malang, Orem-orem, Mendol, Sari Apel, Wedang Angsle
Eco Green Park;4,6;Jl. Raya Oro-Oro Ombo No.9A, Sisir, Batu, Batu City, East Java 65314, Indonesia;malang;jawa timur;Bakso Malang, Cwie Mie Malang, Orem-orem, Mendol, Sari Apel, Wedang Angsle
Batu Love Garden - BALOGA;4,6;Jl. Raya Pandanrejo No.91, Pandanrejo, Kec. Bumiaji, Kota Batu, Jawa Timur 65332, Indonesia;malang;jawa timur;Bakso Malang, Cwie Mie Malang, Orem-orem, Mendol, Sari Apel, Wedang Angsle
Lampion Garden (BNS);4,6;Jl. Hayam Wuruk No.1, Oro-Oro Ombo, Batu, Batu City, East Java 65316, Indonesia;malang;jawa timur;Bakso Malang, Cwie Mie Malang, Orem-orem, Mendol, Sari Apel, Wedang Angsle
Laccar Waterfall;4,6;Kebontelukdalam, Sangkapura, Gresik Regency, East Java 61181, Indonesia;surabaya;jawa timur;Rawon, Rujak Cingur, Lontong Balap, Tahu Tek, Tahu Telor, Soto Sulung, Sate Klopo, Lapis Surabaya, Krengsengan
Wisata mangrove mengare (WARAKAS);4,6;Tajung Widoro, Tj. Widoro, Kec. Bungah, Kabupaten Gresik, Jawa Timur 61152, Indonesia;surabaya;jawa timur;Rawon, Rujak Cingur, Lontong Balap, Tahu Tek, Tahu Telor, Soto Sulung, Sate Klopo, Lapis Surabaya, Krengsengan
Situs Giri Kedaton & Makam Raden Supeno;4,6;Jl. Sunan Giri XIII, Pedukuhan, Kebomas, Kec. Kebomas, Kabupaten Gresik, Jawa Timur 61124, Indonesia;surabaya;jawa timur;Rawon, Rujak Cingur, Lontong Balap, Tahu Tek, Tahu Telor, Soto Sulung, Sate Klopo, Lapis Surabaya, Krengsengan
Pantai Morodemak;4,6;Area Sawah, Morodemak, Bonang, Demak Regency, Central Java 59552, Indonesia;demak;jawa tengah;Asem-asem Demak, Nasi Ndoreng, Wedang Pekak
Makam Syekh Abdullah Mudzakir;4,6;3FPJ+5J9, Bedono, Kec. Sayung, Kabupaten Demak, Jawa Tengah, Indonesia;demak;jawa tengah;Asem-asem Demak, Nasi Ndoreng, Wedang Pekak
Pantai Surumanis Kebumen;4,6;Dilem, Pasir, Kec. Ayah, Kabupaten Kebumen, Jawa Tengah 54473, Indonesia;kebumen;jawa tengah;Sate Ambal, Nasi Penggel, Yutuk
Pantai Gebyuran ( Wisata Pantai Lampon );4,6;Kawasan Hutan, Pehutani, Ayah, Kebumen Regency, Central Java 54473, Indonesia;kebumen;jawa tengah;Sate Ambal, Nasi Penggel, Yutuk
Kebumen Geopark;4,6;Jl. Karangsambung, Karangsambung, Kec. Karangsambung, Kabupaten Kebumen, Jawa Tengah 54353, Indonesia;kebumen;jawa tengah;Sate Ambal, Nasi Penggel, Yutuk
Red Bridge Menganti;4,6;6CG6+38J, Tj. Karangboto, Karangduwur, Ayah, Kebumen Regency, Central Java 54473, Indonesia;kebumen;jawa tengah;Sate Ambal, Nasi Penggel, Yutuk
Menganti Beach;4,6;Jl. Pantai Menganti, Tj. Karangboto, Karangduwur, Ayah, Kebumen Regency, Central Java 54473, Indonesia;kebumen;jawa tengah;Sate Ambal, Nasi Penggel, Yutuk
Oasis Djarum Park;4,6;Jl. Lkr. Utara No.7, Bacin, Bae, Kudus Regency, Central Java 59325, Indonesia;kudus;jawa tengah;Soto Kudus, Jenang Kudus, Lentog Tanjung, Nasi Pindang
Punthuk Setumbu;4,6;Kurahan, Karangrejo, Borobudur, Magelang Regency, Central Java 56553, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Silancur Highland;4,6;H4P4+CRF, Dadapan, Mangli, Kaliangkrik, Magelang Regency, Central Java 56153, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Air Terjun Kedung Kayang;4,6;F9XV+W4R, Desa Wonolelo kedung kayang, Nagrong, Wonolelo, Kec. Sawangan, Kabupaten Magelang, Jawa Tengah 56411, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Nepal Van Java;4,6;Dusun, Butuh, Temanggung, Kec. Kaliangkrik, Kabupaten Magelang, Jawa Tengah 56153, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Taman Rekreasi dan Camping Ground Watu Nganten Ngentak;4,6;Jalan Blabak-Keteb No.Km.8, Ngentak, Sawangan, Magelang Regency, Central Java 56481, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Taman Lansia;4,6;Jl. Ahmad Yani No.679, Potrobangsan, Magelang Utara, Magelang City, Central Java 56116, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Wahana Dragon Coaster;4,6;G685+7W3, Kemirirejo, Magelang Tengah, Magelang City, Central Java 56123, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Posong Natural Park;4,6;Area Sawah, Tlahap, Kledung, Temanggung Regency, Central Java 56264, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Taman Wisata Alam Posong Temanggung;4,6;Jl. Posong, Tlahab, Tlahap, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah 56264, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Embung Bansari;4,6;Unnamed Road, Sawah, Bansari, Kec. Bansari, Kabupaten Temanggung, Jawa Tengah 56265, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Kampung wisata batik pesindon;4,6;Pesindon Gg. 1 No.35 Kel, Bendan, Pekalongan Barat, Pekalongan City, Central Java 51113, Indonesia;pekalongan;jawa tengah;Nasi Megono, Tauto, Pindang Tetel
Menara Pandang Teratai;4,6;Jl. Bung Karno, Kalibener, Kedungwuluh, Purwokerto Timur, Banyumas Regency, Central Java, Indonesia;purwokerto;jawa tengah;Soto Sokaraja, Tempe Mendoan, Getuk Goreng
Jenggala Waterfall Kalipagu;4,6;Jl. Pangeran Limboro, Dusun III Kalipagu, Ketenger, Kec. Baturaden, Kabupaten Banyumas, Jawa Tengah 53152, Indonesia;purwokerto;jawa tengah;Soto Sokaraja, Tempe Mendoan, Getuk Goreng
Baturraden Adventure Forest;4,6;Dusun II Pandak, Karangsalam, Kec. Baturaden, Kabupaten Banyumas, Jawa Tengah 53151, Indonesia;purwokerto;jawa tengah;Soto Sokaraja, Tempe Mendoan, Getuk Goreng
Alun Alun Kota Purwokerto;4,6;Komplek PJKA 386-388, JL. Jend. Sudirman, Purwokerto Lor, Purwokerto, Sokanegara, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53115, Indonesia;purwokerto;jawa tengah;Soto Sokaraja, Tempe Mendoan, Getuk Goreng
Curug Telu, Purwokerto;4,6;M6JR+2QP, Sawah & Hutan, Karangsalam, Baturaden, Banyumas Regency, Central Java 53151, Indonesia;purwokerto;jawa tengah;Soto Sokaraja, Tempe Mendoan, Getuk Goreng
Lawang Sewu;4,6;Jl. Pemuda No.160, Sekayu, Semarang Tengah, Semarang City, Central Java 50132, Indonesia;semarang;jawa tengah;Lumpia, Wingko Babat, Bandeng Presto, Ganjel Rel, Tahu Gimbal, Mie Kopyok
Gedong Songo Temple;4,6;Jl. Ke Candi Gedong Songo, Krajan, Banyukuning, Bandungan, Semarang Regency, Central Java 50614, Indonesia;semarang;jawa tengah;Lumpia, Wingko Babat, Bandeng Presto, Ganjel Rel, Tahu Gimbal, Mie Kopyok
Umbul Sidomukti;4,6;Manggung, Jimbaran, Bandungan, Kabupaten Semarang, Jawa Tengah 50661, Indonesia;semarang;jawa tengah;Lumpia, Wingko Babat, Bandeng Presto, Ganjel Rel, Tahu Gimbal, Mie Kopyok
Srigunting Park;4,6;2CJH+P4P, Tanjung Mas, Semarang Utara, Semarang City, Central Java 50174, Indonesia;semarang;jawa tengah;Lumpia, Wingko Babat, Bandeng Presto, Ganjel Rel, Tahu Gimbal, Mie Kopyok
Indonesia Kaya Park;4,6;Jl. Menteri Supeno No.11 A, Mugassari, Semarang Selatan, Semarang City, Central Java 50249, Indonesia;semarang;jawa tengah;Lumpia, Wingko Babat, Bandeng Presto, Ganjel Rel, Tahu Gimbal, Mie Kopyok
Bukit Teletubbies- Tembalang Semarang;4,6;XCGW+3JJ, Tandang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50274, Indonesia;semarang;jawa tengah;Lumpia, Wingko Babat, Bandeng Presto, Ganjel Rel, Tahu Gimbal, Mie Kopyok
Wisata taman bunga celosia;4,6;Beroken, Candi, Bandungan, Kabupaten Semarang, Jawa Tengah 50614, Indonesia;semarang;jawa tengah;Lumpia, Wingko Babat, Bandeng Presto, Ganjel Rel, Tahu Gimbal, Mie Kopyok
Keraton Surakarta Hadiningrat;4,6;Jl. Kamandungan, Baluwarti, Pasar Kliwon, Surakarta City, Central Java 57144, Indonesia;surakarta;jawa tengah;Serabi Notosuman, Nasi Liwet, Gudeg Ceker, Sate Buntel, Timlo Solo, Tengkleng, Selat Solo
Kampung Batik Kauman;4,6;Jl. Trisula III No.1, Kauman, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57112, Indonesia;surakarta;jawa tengah;Serabi Notosuman, Nasi Liwet, Gudeg Ceker, Sate Buntel, Timlo Solo, Tengkleng, Selat Solo
Tugu Jam Pasar Gêdhé;4,6;CRJJ+7F4, Jl. Jend. Urip Sumoharjo, Sudiroprajan, Jebres, Surakarta City, Central Java 57133, Indonesia;surakarta;jawa tengah;Serabi Notosuman, Nasi Liwet, Gudeg Ceker, Sate Buntel, Timlo Solo, Tengkleng, Selat Solo
Guci;4,6;R556+PW5, Jl. Objek Wisata Guci, Pekandangan, Rembul, Kec. Bojong, Kabupaten Tegal, Jawa Tengah 52465, Indonesia;tegal;jawa tengah;Sate Tegal, Tahu Aci, Kupat Glabed, Teh Poci, Sauto
Curug Serwiti Guci;4,6;R527+2RR, Kalengan, Guci, Kecamatan Bumijawa, Kabupaten Tegal, Jawa Tengah 52466, Indonesia;tegal;jawa tengah;Sate Tegal, Tahu Aci, Kupat Glabed, Teh Poci, Sauto
Wisata Guci Tegal;4,6;Jl. Objek Wisata Guci, Kemaron, Tuwel, Kec. Bojong, Kabupaten Tegal, Jawa Tengah 52465, Indonesia;tegal;jawa tengah;Sate Tegal, Tahu Aci, Kupat Glabed, Teh Poci, Sauto
Watu Cenik Wonogiri;4,6;5W27+25X, Sendang, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57615, Indonesia;wonogiri;jawa tengah;Nasi Tiwul, Kacang Mete, Cabuk
Pantai Gading Purba;4,6;4WX8+JP2, Sendang, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57615, Indonesia;wonogiri;jawa tengah;Nasi Tiwul, Kacang Mete, Cabuk
Bukit Cumbri;4,6;5854+P92, Kepyar, Purwantoro, Kabupaten, Ngudal, Pagerukir, Sampung, Wonogiri Regency, Central Java 57695, Indonesia;wonogiri;jawa tengah;Nasi Tiwul, Kacang Mete, Cabuk
Wisata bukit awan sikapuk;4,6;Jl. Dieng No.22, Wadah Putih, Parikesit, Kec. Kejajar, Kabupaten Wonosobo, Jawa Tengah 56354, Indonesia;wonosobo;jawa tengah;Mie Ongklok, Tempe Kemul, Carica
Dieng Plateau;4,6;Bakal Buntu, Bakal, Batur, Banjarnegara, Central Java, Indonesia;wonosobo;jawa tengah;Mie Ongklok, Tempe Kemul, Carica
Gapura Welcome To Dieng Plateau;4,6;MWF6+2R3, Jl. Dieng, Munggang, Kalibeber, Kec. Mojotengah, Kabupaten Wonosobo, Jawa Tengah 56351, Indonesia;wonosobo;jawa tengah;Mie Ongklok, Tempe Kemul, Carica
PINTU LANGIT Super view golden sunrise;4,6;QW8Q+P9F, Sidorejo, Tieng, Kec. Kejajar, Kabupaten Wonosobo, Jawa Tengah 56354, Indonesia;wonosobo;jawa tengah;Mie Ongklok, Tempe Kemul, Carica
Dewi Gumi (Gunung Mijil) Petilasan Pangeran Diponegoro;4,6;48JC+HR5, Jl. Gandekan Raya, Gandekan, Guwosari, Kec. Pajangan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Desa Wisata Kebonagung Imogiri;4,6;Talaban, Kebonagung, Kec. Imogiri, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55782, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Watu Gagak Hills;4,6;39WQ+2RQ, Singosaren, Wukirsari, Imogiri, Bantul Regency, Special Region of Yogyakarta 55782, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Seribu Batu Songgo Langit;4,6;Jl. Hutan Pinus Nganjir, Sukorame, Mangunan, Dlingo, Bantul Regency, Special Region of Yogyakarta 55783, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Mangunan Pines Forests;4,6;Jl raya Jl. Hutan Pinus Nganjir, Mangunan, Dlingo, Bantul Regency, Special Region of Yogyakarta 55783, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Gardu Pandang Mangunan;4,6;3C5F+HVQ, Mangunan, Dlingo, Bantul Regency, Special Region of Yogyakarta 55783, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Pule Hills View-Wellness Village of Yogyakarta;4,6;Jl. Lereng Wisata No.5, Metes, Triwidadi, Kec. Pajangan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Alun-Alun Paseban Bantul;4,6;Alun alun, Kurahan, Paseban, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55711, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Wisata Air Srikeminut Sriharjo;4,6;3C39+V2C, Jl. Jemb. Gantung, Wunul, Sriharjo, Kec. Imogiri, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55782, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Batik Giriloyo;4,6;Gazebo Wisata Giriloyo, Jl. Giriloyo, Karang Kulon, Wukirsari, Kec. Imogiri, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55782, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Tourism Village Nganggring;4,6;Nganggring, Girikerto Turi, Girikerto, Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55551, Indonesia;sleman;yogyakarta;Gudeg, Bakpia, Sate Kelinci, Jadah Tempe
Bukit Klangon;4,6;Kalitengah Lor, Glagaharjo, Cangkringan, Sleman Regency, Special Region of Yogyakarta 55583, Indonesia;sleman;yogyakarta;Gudeg, Bakpia, Sate Kelinci, Jadah Tempe
Wisata Kaliurang;4,6;9CQC+46V, Jl. Boyong, Bojong, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582, Indonesia;sleman;yogyakarta;Gudeg, Bakpia, Sate Kelinci, Jadah Tempe
Sambisari Temple;4,6;Jl. Candi Sambisari, Sambisari, Purwomartani, Kalasan, Sleman Regency, Special Region of Yogyakarta 55571, Indonesia;sleman;yogyakarta;Gudeg, Bakpia, Sate Kelinci, Jadah Tempe
Ledok Sambi Ecopark;4,6;Kaliurang St No.KM. 19,2, Area Sawah, Pakembinangun, Pakem, Sleman Regency, Special Region of Yogyakarta 55582, Indonesia;sleman;yogyakarta;Gudeg, Bakpia, Sate Kelinci, Jadah Tempe
The Lost World Park;4,6;CC3X+VCH, Petung, RT.02/RW.05, Kepuharjo, Kec. Cangkringan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55583, Indonesia;sleman;yogyakarta;Gudeg, Bakpia, Sate Kelinci, Jadah Tempe
Kawasan Ekowisata Gunung Api Purba Nglanggeran;4,6;Nglanggeran Wetan, Nglanggeran, Kec. Patuk, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55862, Indonesia;gunung kidul;yogyakarta;Gudeg, Tiwul, Belalang Goreng
Drini Beach;4,6;VH6H+J26, Pantai Drini, Banjarejo, Daerah Istimewa Yogyakarta, Indonesia;gunung kidul;yogyakarta;Gudeg, Tiwul, Belalang Goreng
Gunung Ireng;4,6;Ngrancahan, Pengkok, Kec. Patuk, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55862, Indonesia;gunung kidul;yogyakarta;Gudeg, Tiwul, Belalang Goreng
Kosakora Hill;4,6;Area Hutan, Banjarejo, Tanjungsari, Gunung Kidul Regency, Special Region of Yogyakarta 55881, Indonesia;gunung kidul;yogyakarta;Gudeg, Tiwul, Belalang Goreng
Pantai Kukup;4,6;Ngepung, Kemadang, Kec. Tanjungsari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881, Indonesia;gunung kidul;yogyakarta;Gudeg, Tiwul, Belalang Goreng
Jomblang Cave;4,6;Jetis, Pacarejo, Semanu, Gunung Kidul Regency, Special Region of Yogyakarta 55893, Indonesia;gunung kidul;yogyakarta;Gudeg, Tiwul, Belalang Goreng
Pantai Trenggole;4,6;RJX7+6WV, Pantai, Tepus, Gunung Kidul Regency, Special Region of Yogyakarta 55881, Indonesia;gunung kidul;yogyakarta;Gudeg, Tiwul, Belalang Goreng
Desa Wisata Tepus;4,6;VJPP+39, Pudak, Tepus, Kec. Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881, Indonesia;gunung kidul;yogyakarta;Gudeg, Tiwul, Belalang Goreng
GOA PINDUL GUNUNGKIDUL;4,6;Gelaran 2, Bejiharjo, Kec. Karangmojo, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55891, Indonesia;gunung kidul;yogyakarta;Gudeg, Tiwul, Belalang Goreng
Pantai Sepanjang;4,6;VH79+8C3, Jl. Sepanjang, Ngalos, Kemadang, Tanjungsari, Gunung Kidul Regency, Special Region of Yogyakarta 55881, Indonesia;gunung kidul;yogyakarta;Gudeg, Tiwul, Belalang Goreng
